date,time,address,lat,long,nb_of_vehicles,vehicle_type,age,weather,surface,injury,meansev
18/03/10,03:21:00,"43 HIGHLAND AVENUE,Somerville,Massachusetts,USA",42.3853883991456,-71.0950354229981,,,,,,0,5
20/03/10,20:25:00,"244 ELM STREET,Somerville,Massachusetts,USA",42.3951356,-71.1219208,,,,,,0,5
22/03/10,09:14:00,"PROSPECT STREET ,Somerville,Massachusetts,USA",42.3773363,-71.0953614,,,,,,0,5
22/03/10,23:08:00,"255 MEDFORD STREET,Somerville,Massachusetts,USA",42.38412125,-71.0917615345803,,,,,,0,5
23/03/10,07:30:00,"15 CROCKER STREET,Somerville,Massachusetts,USA",42.39041465,-71.1099633505708,,,,,,0,5
23/03/10,13:35:00,"HANCOCK STREET ,Somerville,Massachusetts,USA",42.3919172,-71.1156994,,,,,,0,5
23/03/10,22:25:00,"GOVERNOR WINTHROP ROAD ,Somerville,Massachusetts,USA",42.3964224,-71.0877844,,,,,,0,5
24/03/10,12:08:00,"292 BROADWAY,Somerville,Massachusetts,USA",42.39188735,-71.09256514499,,,,,,0,5
25/03/10,06:25:00,"CONCORD AVENUE ,Somerville,Massachusetts,USA",42.3766974,-71.0987118,,,,,,0,5
25/03/10,07:06:00,"MCGRATH HIGHWAY ,Somerville,Massachusetts,USA",42.3746562,-71.0838545,,,,,,0,5
25/03/10,11:50:00,"S BOW STREET,Somerville,Massachusetts,USA",42.3797769,-71.0960245,,,,,,0,5
25/03/10,20:15:00,"WASHINGTON STREET ,Somerville,Massachusetts,USA",42.380706,-71.088501,,,,,,0,5
27/03/10,23:15:00,"166 PEARL STREET,Somerville,Massachusetts,USA",42.386166,-71.0898049822453,,,,,,0,5
29/03/10,01:16:00,"451 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.38243015,-71.1027441389853,,,,,,0,5
29/03/10,13:28:00,"SCHOOL STREET,Somerville,Massachusetts,USA",42.385866,-71.09939,,,,,,0,5
30/03/10,20:05:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
02/04/10,23:01:00,"92 POWDER HOUSE BOULEVARD,Somerville,Massachusetts,USA",42.40343945,-71.1219116820694,,,,,,0,5
